player,source,clip_rank,recommended_use,category,replay_url,hero_cards,board,opponent,result,style_score,drama_score,commentary_score,highlight,why_style,commentary_hook,action_line
TheAAI / AlphaHorizon,Tournament S5,1,Primary,Trap / check-raise,https://arena.dev.fun/poker-tournament/table/cmr9rmhsi50wk5mev73fcxxlf,7c 8c,4s 5d As 6d Qh,Finndefi90,545,100,94,100,7c 8c versus Finndefi90 on 4s 5d As 6d Qh: wins +545; a check-raise changes the direction of the hand.,"Delayed aggression is the story: the bot gives the opponent room, then takes control with a raise.",Built-in rivalry: AlphaHorizon versus finalist Thaddius. Pause before the decisive action and let commentary pick a side.,"P V:fold, V:fold, H:raise 20, V:call 20, V:fold, V:call 10 | F V:check, H:bet 50, V:call 50, V:fold | T H:check, V:bet 124, H:raise 450, V:call 326 | R H:bet 5848, V:fold"
TheAAI / AlphaHorizon,Tournament S5,2,Primary,Pressure win,https://arena.dev.fun/poker-tournament/table/cmr7burfsgpkd5mevktdcpu3b,Kd Jd,8d Qc Qd Td 7h,calmyxbt #7,125,90,79,75,Kd Jd versus calmyxbt #7 on 8d Qc Qd Td 7h: wins +125; sustained pressure wins without showdown.,This is initiative without needing showdown—the clearest way to see how its pressure changes opponent behavior.,Hold on the final bet before revealing the response; the audience can judge whether the sizing is value or pressure.,"P V:fold, V:fold, V:fold, H:raise 25, V:fold, V:call 15 | F V:bet 18, H:raise 50, V:call 32 | T V:check, H:bet 45, V:call 45 | R V:check, H:bet 15965, V:fold"
TheAAI / AlphaHorizon,Tournament S5,3,Primary,Downside review,https://arena.dev.fun/poker-tournament/table/cmrcf1uhdzrty6xlygyw0dqah,Ts Jc,9c Js Kh Jh Th,Stariy physe,-12163,77,98,92,"Ts Jc versus Stariy physe on 9c Js Kh Jh Th: loses 12,163; the multi-street line exposes the bot's commitment threshold.",This is the useful counterexample: it shows where the same style can become overcommitment or an expensive refusal to stop.,Built-in rivalry: AlphaHorizon versus finalist Stariy physe. Pause before the decisive action and let commentary pick a side.,"P V:fold, H:raise 20, V:raise 85, V:fold, H:call 65 | F V:check, H:bet 50, V:raise 414, H:call 364 | T V:bet 635, H:call 635 | R V:bet 2506, H:raise 13046, V:call 10540"
TheAAI / AlphaHorizon,Tournament S5,4,Secondary,Trap / check-raise,https://arena.dev.fun/poker-tournament/table/cmr6slni2j3in5mev492krvxr,Jh Jc,Js Ah 7d 8s Jd,StartupBros,6200,100,90,96,"Jh Jc versus StartupBros on Js Ah 7d 8s Jd: wins +6,200; a check-raise changes the direction of the hand.","Delayed aggression is the story: the bot gives the opponent room, then takes control with a raise.","Reveal the initial check first, then pause before the raise so the trap is understandable on screen.","P H:raise 25, V:fold, V:fold, V:call 25, V:fold, V:call 15 | F V:check, H:check, V:bet 23, V:fold, H:raise 75, V:call 52 | T H:check, V:bet 152, H:raise 550, V:call 398 | R H:check, V:bet 1018, H:raise 5520, V:call 4502"
TheAAI / AlphaHorizon,Tournament S5,5,Secondary,Trap / check-raise,https://arena.dev.fun/poker-tournament/table/cmr7wfmk7vy0b5mevyozyhhis,Jh 9d,7d Tc 8s 4h 7c,zierra,1361,92,100,90,"Jh 9d versus zierra on 7d Tc 8s 4h 7c: wins +1,361; a check-raise changes the direction of the hand.","Delayed aggression is the story: the bot gives the opponent room, then takes control with a raise.",Built-in rivalry: AlphaHorizon versus finalist Stariy physe. Pause before the decisive action and let commentary pick a side.,"P V:fold, V:fold, V:raise 25, V:fold, V:fold, H:call 15 | F H:check, V:bet 24, H:raise 100, V:call 76 | T H:check, V:check | R H:check, V:bet 280, H:raise 15671, V:call 15391"
TheAAI / AlphaHorizon,Tournament S5,6,Secondary,Pressure win,https://arena.dev.fun/poker-tournament/table/cmr7js9ep3t0g5mev275peata,Ad Td,Ts Kh 9c 8d 8c,SixSeven,565,90,75,75,Ad Td versus SixSeven on Ts Kh 9c 8d 8c: wins +565; sustained pressure wins without showdown.,This is initiative without needing showdown—the clearest way to see how its pressure changes opponent behavior.,Hold on the final bet before revealing the response; the audience can judge whether the sizing is value or pressure.,"P V:fold, V:raise 25, V:fold, V:call 25, H:raise 150, V:fold, V:fold, V:call 125 | F H:bet 80, V:call 80 | T H:bet 300, V:call 300 | R H:bet 10874, V:fold"
TheAAI / AlphaHorizon,Tournament S5,7,Backup,Multi-street attack,https://arena.dev.fun/poker-tournament/table/cmr6ivrvin6ty5mev4wn7h3th,Kh Kd,Tc 6d Ks 8d Ah,Phantom Stack,2285,90,71,75,"Kh Kd versus Phantom Stack on Tc 6d Ks 8d Ah: wins +2,285; the multi-street line exposes the bot's commitment threshold.","Aggression continues across streets, making the bot's commitment and sizing pattern easy to narrate.",Hold on the final bet before revealing the response; the audience can judge whether the sizing is value or pressure.,"P V:call 10, V:fold, V:fold, H:raise 40, V:fold, V:fold, V:call 30 | F V:check, H:bet 100, V:call 100 | T V:bet 178, H:raise 650, V:call 472 | R V:bet 446, H:raise 7434, V:call 6988"
TheAAI / AlphaHorizon,Tournament S5,8,Backup,Downside review,https://arena.dev.fun/poker-tournament/table/cmr9ega8s69l85mevv4ekfesc,Js Kd,Ts 9c Ah Td,Sam,-101,35,92,56,Js Kd versus Sam on Ts 9c Ah Td: loses 101; the multi-street line exposes the bot's commitment threshold.,This is the useful counterexample: it shows where the same style can become overcommitment or an expensive refusal to stop.,Built-in rivalry: AlphaHorizon versus finalist Thaddius. Pause before the decisive action and let commentary pick a side.,"P H:raise 20, V:call 20, V:fold, V:fold, V:fold, V:call 10 | F V:bet 21, H:call 21, V:call 21 | T V:check, H:bet 60, V:raise 76514, V:fold, H:fold"
TheAAI / AlphaHorizon,Tournament S5,9,Backup,River decision,https://arena.dev.fun/poker-tournament/table/cmr6oygjxtfj95mevbzgfg58c,As Ad,9c 9s 7s 7d 4h,Kav,141,48,88,33,As Ad versus Kav on 9c 9s 7s 7d 4h: wins +141; sustained pressure wins without showdown.,"The river creates a single, legible decision point that viewers can debate before the action is revealed.",Built-in rivalry: AlphaHorizon versus finalist Thaddius. Pause before the decisive action and let commentary pick a side.,"P V:raise 30, V:fold, V:raise 96, H:call 96, V:fold, V:fold, V:fold | F V:check, H:check | T V:check, H:check | R V:check, H:bet 8037, V:fold"
TheAAI / AlphaHorizon,Tournament S5,10,Backup,Value escalation,https://arena.dev.fun/poker-tournament/table/cmrc8kqm0lcku1a2a1k9bz2ke,7d Ad,Td Qd 3d Ah 4h,Crimson Range,3208,23,38,75,"7d Ad versus Crimson Range on Td Qd 3d Ah 4h: wins +3,208; the runout produces flush.","The pot grows in stages rather than all at once, showing how the bot converts made-hand strength into chips.",Built-in rivalry: AlphaHorizon versus finalist Antge Poker Bot. Pause before the decisive action and let commentary pick a side.,"P V:raise 30, V:fold, H:call 30, V:fold, V:call 20 | F V:check, V:bet 52, H:call 52, V:call 52 | T V:bet 188, V:fold, H:raise 550, V:raise 3039, H:call 2489"
